Date&Time;Cloudfactor;Windspeed;powerProduction_CustomPowerPlant@11/12_Bus0;powerProductionOptimal_CustomPowerPlant@11/12_Bus0;powerConsumption_CustomConsumer@10/10_Bus0;powerDemand_CustomConsumer@10/10_Bus0;powerConsumption_CustomConsumer@10/12_Bus0;powerDemand_CustomConsumer@10/12_Bus0;powerConsumption_GridPower@9/3_Bus0;powerProduction_GridPower@9/3_Bus0;powerConsumption_CustomConsumer@15/10_Bus0;powerDemand_CustomConsumer@15/10_Bus0;powerConsumption_CustomConsumer@13/3_Bus0;powerDemand_CustomConsumer@13/3_Bus0;powerConsumption_CustomConsumer@16/5_Bus0;powerDemand_CustomConsumer@16/5_Bus0;powerProduction_CustomPowerPlant@12/3_Bus0;powerProductionOptimal_CustomPowerPlant@12/3_Bus0;powerConsumption_CustomConsumer@14/12_Bus0;powerDemand_CustomConsumer@14/12_Bus0;powerProduction_CustomPowerPlant@17/5_Bus0;powerProductionOptimal_CustomPowerPlant@17/5_Bus0;powerConsumption_CustomConsumer@8/15_Bus0;powerDemand_CustomConsumer@8/15_Bus0;powerConsumption_CustomConsumer@12/16_Bus0;powerDemand_CustomConsumer@12/16_Bus0;powerConsumption_CustomConsumer@15/17_Bus0;powerDemand_CustomConsumer@15/17_Bus0;powerConsumption_CustomConsumer@9/19_Bus0;powerDemand_CustomConsumer@9/19_Bus0;powerProduction_CustomPowerPlant@21/12_Bus0;powerProductionOptimal_CustomPowerPlant@21/12_Bus0;powerConsumption_CustomConsumer@14/20_Bus0;powerDemand_CustomConsumer@14/20_Bus0;
2014.01.01   22.30;0.0;0.997;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.01   23.30;0.0;0.817;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   00.30;0.122;2.558;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   01.30;0.304;1.153;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   02.30;0.25;1.465;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   03.30;0.016;1.649;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   04.30;0.0;2.202;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   05.30;0.0;2.612;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   06.30;0.0;2.538;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   07.30;0.277;2.279;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   08.30;0.341;2.04;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   09.30;0.46;1.588;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   10.30;0.318;1.556;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   11.30;0.563;1.363;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   12.30;0.409;2.615;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   13.30;0.576;1.931;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   14.30;0.78;2.555;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   15.30;0.734;2.213;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   16.30;0.511;2.825;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   17.30;0.585;2.946;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   18.30;0.55;2.578;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   19.30;0.306;2.072;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   20.30;0.403;1.3;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   21.30;0.514;2.084;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   22.30;0.581;0.477;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.02   23.30;0.663;1.737;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.03   00.30;0.706;1.288;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.03   01.30;0.729;1.593;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.03   02.30;0.843;0.994;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.03   03.30;0.606;1.934;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
2014.01.03   04.30;0.457;0.834;0.0;0.0;7.6;7.6,1.6;11.2;11.2,7.5;0.0;219.0;47.8;47.8,-3.9;21.7;21.7,12.7;94.2;94.2,19.0;40.0;40.0;29.5;29.5,16.6;0.0;0.0;6.1;6.1,1.6;3.5;3.5,1.8;9.0;9.0,5.8;13.5;13.5,5.8;0.0;0.0;14.9;14.9,5.0
